Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,premium_yes,plan,primary_genre,segment,segment_label,frequency_band,recommendation_band,is_high_intent,record_count
35~60,Male,Less than 6 months,Smart speakers or voice assistants,Individual Plan- Rs 119/month,Yes,Individual Plan- Rs 119/month,Music,Jazz,Afternoon,Sadness or melancholy,Never,Playlists,5,Daily,Technology,Interview,,Medium (15-30 minutes),Satisfied,1,individual,Jazz,,Unsampled,Low,High rating,0,1
12~20,Female,6 months to 1 year,Smartphone,Student Plan-Rs 59/month,No,,Music,Classical,Morning,Relaxation and stress relief,Rarely,Recommendations,1,Daily,Sports,Interview,Well known individuals,,Very Dissatisfied,0,student,Classical,,Unsampled,Low,Low rating,0,1
35~60,Others,6 months to 1 year,Smartphone,Family Plan-Rs 179/month,No,Student Plan-Rs 59/month,Podcast,Melody,Morning,Sadness or melancholy,Once a week,Recommendations,1,Once a week,,,Well known individuals,Medium (15-30 minutes),Very Dissatisfied,0,family,Melody,,Unsampled,Medium,Low rating,0,1
35~60,Others,1 year to 2 years,Smartphone,Student Plan-Rs 59/month,Yes,,Music,Rap,Evening,Social gatherings or parties,Daily,Playlists,4,Never,Sports,Story telling,Famous personalities,Short (less than 15 minutes),Very Dissatisfied,1,student,Rap,,Unsampled,High,High rating,1,1
12~20,Others,Less than 6 months,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/month,Music,Classical,Evening,Social gatherings or parties,Several times a week,Recommendations,4,Once a week,,Interview,Famous personalities,Short (less than 15 minutes),Neutral,1,free,Classical,0.0,Segment 0,High,High rating,1,1
12~20,Others,1 year to 2 years,Smartphone,Student Plan-Rs 59/month,Yes,,Podcast,Rock,Afternoon,Relaxation and stress relief,Several times a week,Playlists,2,Never,,Interview,Well known individuals,,Neutral,1,student,Rock,,Unsampled,High,Low rating,0,1
12~20,Male,More than 2 years,Computer or laptop,Individual Plan- Rs 119/month,Yes,,Podcast,Jazz,Morning,Relaxation and stress relief,Several times a week,Playlists,2,Daily,Comedy,Interview,Famous personalities,Medium (15-30 minutes),Very Satisfied,1,individual,Jazz,,Unsampled,High,Low rating,0,1
12~20,Others,More than 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,,Music,Rap,Morning,Sadness or melancholy,Once a week,Recommendations,1,Never,,Story telling,,Medium (15-30 minutes),Neutral,1,free,Rap,,Unsampled,Medium,Low rating,0,1
35~60,Others,More than 2 years,Tablet,Family Plan-Rs 179/month,Yes,Individual Plan- Rs 119/month,Music,Classical,Morning,Relaxation and stress relief,Several times a week,Recommendations,1,Daily,Lifestyle and Health,Discussion,Well known individuals,Long (more than 30 minutes),Satisfied,1,family,Classical,,Unsampled,High,Low rating,0,1
35~60,Others,Less than 6 months,Smartphone,Family Plan-Rs 179/month,No,Student Plan-Rs 59/month,Podcast,Pop,Morning,Social gatherings or parties,Never,Playlists,2,Rarely,Technology,,Both,,Neutral,0,family,Pop,,Unsampled,Low,Low rating,0,1
35~60,Male,More than 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Individual Plan- Rs 119/month,Podcast,Pop,Night,Relaxation and stress relief,Rarely,Recommendations,3,Once a week,Technology,Story telling,Famous personalities,Short (less than 15 minutes),Very Satisfied,1,free,Pop,0.0,Segment 0,Low,Neutral rating,0,1
12~20,Male,More than 2 years,Tablet,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Rap,Night,Relaxation and stress relief,Once a week,Playlists,2,Rarely,Sports,Discussion,Well known individuals,Medium (15-30 minutes),Dissatisfied,0,free,Rap,,Unsampled,Medium,Low rating,0,1
12~20,Female,6 months to 1 year,Tablet,Student Plan-Rs 59/month,No,Family Plan-Rs 179/month,Podcast,Rock,Morning,Social gatherings or parties,Daily,Recommendations,1,Rarely,Comedy,Story telling,,,Very Dissatisfied,0,student,Rock,,Unsampled,High,Low rating,0,1
12~20,Male,Less than 6 months,Computer or laptop,Family Plan-Rs 179/month,No,Individual Plan- Rs 119/month,Podcast,Classical,Morning,Sadness or melancholy,Once a week,Playlists,5,Several times a week,Sports,Discussion,Well known individuals,Short (less than 15 minutes),Dissatisfied,0,family,Classical,,Unsampled,Medium,High rating,0,1
20~35,Others,Less than 6 months,Computer or laptop,Student Plan-Rs 59/month,No,Student Plan-Rs 59/month,Podcast,Melody,Afternoon,Social gatherings or parties,Never,Playlists,1,Never,Lifestyle and Health,Interview,Both,,Satisfied,0,student,Melody,,Unsampled,Low,Low rating,0,1
12~20,Others,Less than 6 months,Smart speakers or voice assistants,Student Plan-Rs 59/month,Yes,,Music,Melody,Morning,Social gatherings or parties,Once a week,Playlists,2,Several times a week,,Interview,,Short (less than 15 minutes),Very Satisfied,1,student,Melody,,Unsampled,Medium,Low rating,0,1
35~60,Others,6 months to 1 year,Computer or laptop,Student Plan-Rs 59/month,No,Student Plan-Rs 59/month,Podcast,Rock,Afternoon,Social gatherings or parties,Once a week,Recommendations,4,Once a week,Comedy,,Well known individuals,Short (less than 15 minutes),Dissatisfied,0,student,Rock,0.0,Segment 0,Medium,High rating,0,1
20~35,Others,More than 2 years,Tablet,Individual Plan- Rs 119/month,Yes,Individual Plan- Rs 119/month,Podcast,Classical,Night,Sadness or melancholy,Once a week,Recommendations,1,Rarely,Technology,Interview,Famous personalities,Medium (15-30 minutes),Neutral,1,individual,Classical,0.0,Segment 0,Medium,Low rating,0,1
35~60,Male,Less than 6 months,Tablet,Family Plan-Rs 179/month,No,Student Plan-Rs 59/month,Podcast,Classical,Night,Sadness or melancholy,Never,Playlists,3,Once a week,Lifestyle and Health,Interview,Well known individuals,Long (more than 30 minutes),Neutral,0,family,Classical,0.0,Segment 0,Low,Neutral rating,0,1
35~60,Male,Less than 6 months,Smartphone,Free (ad-supported),Yes,,Podcast,Rock,Afternoon,Relaxation and stress relief,Rarely,Playlists,2,Several times a week,Comedy,Interview,Famous personalities,Medium (15-30 minutes),Very Dissatisfied,1,free,Rock,,Unsampled,Low,Low rating,0,1
12~20,Others,More than 2 years,Smart speakers or voice assistants,Student Plan-Rs 59/month,No,,Podcast,Rock,Afternoon,Social gatherings or parties,Once a week,Recommendations,5,Rarely,Technology,Discussion,Both,,Very Dissatisfied,0,student,Rock,,Unsampled,Medium,High rating,0,1
12~20,Male,6 months to 1 year,Smartphone,Student Plan-Rs 59/month,No,,Music,Jazz,Morning,Social gatherings or parties,Rarely,Recommendations,1,Rarely,Sports,Story telling,Both,Medium (15-30 minutes),Very Dissatisfied,0,student,Jazz,0.0,Segment 0,Low,Low rating,0,1
12~20,Male,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Melody,Morning,Sadness or melancholy,Rarely,Playlists,5,Once a week,Lifestyle and Health,,Both,,Dissatisfied,1,free,Melody,0.0,Segment 0,Low,High rating,0,1
35~60,Others,6 months to 1 year,Tablet,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Morning,Relaxation and stress relief,Daily,Playlists,5,Once a week,,Story telling,,Long (more than 30 minutes),Very Dissatisfied,0,free,Pop,,Unsampled,High,High rating,0,1
35~60,Others,6 months to 1 year,Computer or laptop,Free (ad-supported),No,Individual Plan- Rs 119/month,Podcast,Pop,Evening,Social gatherings or parties,Never,Recommendations,1,Daily,Lifestyle and Health,,Both,Long (more than 30 minutes),Very Dissatisfied,0,free,Pop,,Unsampled,Low,Low rating,0,1
35~60,Female,6 months to 1 year,Tablet,Family Plan-Rs 179/month,No,Student Plan-Rs 59/month,Music,Rap,Evening,Social gatherings or parties,Never,Playlists,5,Daily,Comedy,Story telling,Well known individuals,Medium (15-30 minutes),Satisfied,0,family,Rap,,Unsampled,Low,High rating,0,1
35~60,Male,Less than 6 months,Smart speakers or voice assistants,Individual Plan- Rs 119/month,No,Student Plan-Rs 59/month,Music,Jazz,Afternoon,Sadness or melancholy,Daily,Playlists,1,Several times a week,Comedy,Interview,,Long (more than 30 minutes),Dissatisfied,0,individual,Jazz,,Unsampled,High,Low rating,0,1
20~35,Others,6 months to 1 year,Computer or laptop,Individual Plan- Rs 119/month,Yes,Family Plan-Rs 179/month,Music,Jazz,Afternoon,Social gatherings or parties,Rarely,Playlists,2,Never,Comedy,Discussion,,Short (less than 15 minutes),Very Satisfied,1,individual,Jazz,,Unsampled,Low,Low rating,0,1
12~20,Female,6 months to 1 year,Computer or laptop,Student Plan-Rs 59/month,Yes,Individual Plan- Rs 119/month,Music,Classical,Night,Sadness or melancholy,Once a week,Playlists,2,Several times a week,,Interview,Both,,Satisfied,1,student,Classical,0.0,Segment 0,Medium,Low rating,0,1
12~20,Male,1 year to 2 years,Smartphone,Student Plan-Rs 59/month,Yes,Individual Plan- Rs 119/month,Music,Melody,Night,Relaxation and stress relief,Several times a week,Playlists,2,Several times a week,,Story telling,,,Very Satisfied,1,student,Melody,0.0,Segment 0,High,Low rating,0,1
12~20,Male,1 year to 2 years,Computer or laptop,Free (ad-supported),No,Individual Plan- Rs 119/month,Podcast,Pop,Morning,Sadness or melancholy,Daily,Playlists,1,Once a week,Technology,,Well known individuals,Short (less than 15 minutes),Satisfied,0,free,Pop,0.0,Segment 0,High,Low rating,0,1
20~35,Others,1 year to 2 years,Smart speakers or voice assistants,Family Plan-Rs 179/month,No,Individual Plan- Rs 119/month,Music,Rap,Morning,Social gatherings or parties,Rarely,Recommendations,4,Several times a week,Technology,Discussion,Both,,Very Satisfied,0,family,Rap,0.0,Segment 0,Low,High rating,0,1
35~60,Male,More than 2 years,Tablet,Family Plan-Rs 179/month,No,Family Plan-Rs 179/month,Podcast,Rock,Afternoon,Social gatherings or parties,Daily,Playlists,4,Once a week,Sports,Story telling,Both,Medium (15-30 minutes),Neutral,0,family,Rock,,Unsampled,High,High rating,0,1
20~35,Others,Less than 6 months,Computer or laptop,Student Plan-Rs 59/month,Yes,,Music,Rap,Evening,Social gatherings or parties,Rarely,Recommendations,4,Once a week,Sports,Discussion,Well known individuals,Medium (15-30 minutes),Neutral,1,student,Rap,0.0,Segment 0,Low,High rating,0,1
12~20,Others,More than 2 years,Smart speakers or voice assistants,Student Plan-Rs 59/month,Yes,Family Plan-Rs 179/month,Podcast,Rock,Evening,Relaxation and stress relief,Once a week,Recommendations,1,Never,Technology,Interview,Famous personalities,Long (more than 30 minutes),Very Dissatisfied,1,student,Rock,,Unsampled,Medium,Low rating,0,1
12~20,Male,More than 2 years,Computer or laptop,Family Plan-Rs 179/month,No,,Music,Rap,Afternoon,Social gatherings or parties,Once a week,Recommendations,1,Daily,Sports,Story telling,Both,Long (more than 30 minutes),Dissatisfied,0,family,Rap,,Unsampled,Medium,Low rating,0,1
12~20,Female,More than 2 years,Computer or laptop,Student Plan-Rs 59/month,No,Individual Plan- Rs 119/month,Music,Rap,Afternoon,Social gatherings or parties,Daily,Recommendations,5,Rarely,Technology,Discussion,Famous personalities,Short (less than 15 minutes),Very Dissatisfied,0,student,Rap,,Unsampled,High,High rating,0,1
12~20,Others,6 months to 1 year,Smart speakers or voice assistants,Student Plan-Rs 59/month,No,,Music,Rock,Evening,Sadness or melancholy,Once a week,Playlists,1,Several times a week,Sports,Discussion,Both,Short (less than 15 minutes),Very Satisfied,0,student,Rock,,Unsampled,Medium,Low rating,0,1
12~20,Others,1 year to 2 years,Tablet,Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Jazz,Night,Sadness or melancholy,Rarely,Playlists,4,Once a week,,Interview,Both,Long (more than 30 minutes),Satisfied,1,free,Jazz,,Unsampled,Low,High rating,0,1
20~35,Male,6 months to 1 year,Smartphone,Individual Plan- Rs 119/month,Yes,Individual Plan- Rs 119/month,Music,Pop,Night,Social gatherings or parties,Several times a week,Recommendations,4,Daily,Technology,,Famous personalities,Medium (15-30 minutes),Dissatisfied,1,individual,Pop,0.0,Segment 0,High,High rating,1,1
35~60,Others,More than 2 years,Smart speakers or voice assistants,Family Plan-Rs 179/month,Yes,Individual Plan- Rs 119/month,Music,Rap,Night,Relaxation and stress relief,Never,Playlists,5,Never,Technology,Discussion,Both,Long (more than 30 minutes),Dissatisfied,1,family,Rap,,Unsampled,Low,High rating,0,1
12~20,Others,1 year to 2 years,Computer or laptop,Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,Classical,Morning,Sadness or melancholy,Rarely,Playlists,3,Several times a week,Lifestyle and Health,Story telling,Both,Long (more than 30 minutes),Satisfied,0,free,Classical,0.0,Segment 0,Low,Neutral rating,0,1
35~60,Female,Less than 6 months,Smart speakers or voice assistants,Family Plan-Rs 179/month,Yes,Individual Plan- Rs 119/month,Music,Classical,Afternoon,Sadness or melancholy,Once a week,Playlists,2,Once a week,Comedy,,Famous personalities,Long (more than 30 minutes),Very Satisfied,1,family,Classical,,Unsampled,Medium,Low rating,0,1
12~20,Male,1 year to 2 years,Computer or laptop,Student Plan-Rs 59/month,Yes,Student Plan-Rs 59/month,Podcast,Pop,Night,Social gatherings or parties,Rarely,Playlists,1,Several times a week,Lifestyle and Health,,Both,,Very Dissatisfied,1,student,Pop,,Unsampled,Low,Low rating,0,1
12~20,Male,More than 2 years,Smart speakers or voice assistants,Student Plan-Rs 59/month,No,,Music,Rock,Night,Social gatherings or parties,Never,Recommendations,2,Once a week,Sports,Story telling,,Short (less than 15 minutes),Dissatisfied,0,student,Rock,0.0,Segment 0,Low,Low rating,0,1
35~60,Others,6 months to 1 year,Computer or laptop,Student Plan-Rs 59/month,Yes,Family Plan-Rs 179/month,Music,Classical,Evening,Relaxation and stress relief,Several times a week,Recommendations,3,Several times a week,Technology,,Famous personalities,Medium (15-30 minutes),Neutral,1,student,Classical,,Unsampled,High,Neutral rating,0,1
20~35,Female,Less than 6 months,Computer or laptop,Family Plan-Rs 179/month,Yes,,Music,Pop,Evening,Relaxation and stress relief,Once a week,Playlists,3,Never,Comedy,Interview,Well known individuals,Medium (15-30 minutes),Very Dissatisfied,1,family,Pop,0.0,Segment 0,Medium,Neutral rating,0,1
12~20,Male,1 year to 2 years,Smart speakers or voice assistants,Individual Plan- Rs 119/month,Yes,,Music,Jazz,Night,Relaxation and stress relief,Several times a week,Recommendations,5,Once a week,,,Well known individuals,Short (less than 15 minutes),Neutral,1,individual,Jazz,,Unsampled,High,High rating,1,1
20~35,Male,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),No,,Podcast,Pop,Morning,Sadness or melancholy,Once a week,Recommendations,4,Daily,Comedy,Story telling,Well known individuals,Long (more than 30 minutes),Dissatisfied,0,free,Pop,,Unsampled,Medium,High rating,0,1
20~35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/month,Podcast,Jazz,Morning,Relaxation and stress relief,Rarely,Recommendations,3,Never,Technology,Story telling,Famous personalities,Medium (15-30 minutes),Dissatisfied,0,free,Jazz,,Unsampled,Low,Neutral rating,0,1
12~20,Male,More than 2 years,Computer or laptop,Student Plan-Rs 59/month,No,Family Plan-Rs 179/month,Music,Melody,Evening,Relaxation and stress relief,Once a week,Recommendations,5,Once a week,Lifestyle and Health,Interview,Both,,Dissatisfied,0,student,Melody,,Unsampled,Medium,High rating,0,1
12~20,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,,Podcast,Rock,Afternoon,Sadness or melancholy,Daily,Recommendations,1,Daily,,,Well known individuals,,Dissatisfied,1,free,Rock,,Unsampled,High,Low rating,0,1
35~60,Female,Less than 6 months,Computer or laptop,Individual Plan- Rs 119/month,Yes,Student Plan-Rs 59/month,Podcast,Jazz,Morning,Relaxation and stress relief,Rarely,Recommendations,1,Daily,Comedy,Discussion,Both,,Dissatisfied,1,individual,Jazz,,Unsampled,Low,Low rating,0,1
35~60,Male,Less than 6 months,Computer or laptop,Family Plan-Rs 179/month,No,,Music,Jazz,Morning,Sadness or melancholy,Once a week,Recommendations,2,Rarely,Technology,Story telling,,Long (more than 30 minutes),Satisfied,0,family,Jazz,,Unsampled,Medium,Low rating,0,1
12~20,Others,6 months to 1 year,Smartphone,Family Plan-Rs 179/month,Yes,Student Plan-Rs 59/month,Podcast,Rap,Morning,Social gatherings or parties,Never,Playlists,1,Rarely,,Interview,,,Satisfied,1,family,Rap,,Unsampled,Low,Low rating,0,1
12~20,Others,Less than 6 months,Smart speakers or voice assistants,Individual Plan- Rs 119/month,Yes,Student Plan-Rs 59/month,Music,Jazz,Afternoon,Social gatherings or parties,Rarely,Playlists,3,Rarely,Technology,Interview,Famous personalities,Long (more than 30 minutes),Satisfied,1,individual,Jazz,0.0,Segment 0,Low,Neutral rating,0,1
20~35,Others,6 months to 1 year,Smart speakers or voice assistants,Family Plan-Rs 179/month,Yes,Individual Plan- Rs 119/month,Podcast,Rock,Afternoon,Relaxation and stress relief,Once a week,Recommendations,1,Once a week,Sports,Story telling,,Short (less than 15 minutes),Satisfied,1,family,Rock,0.0,Segment 0,Medium,Low rating,0,1
12~20,Female,Less than 6 months,Smart speakers or voice assistants,Free (ad-supported),No,Family Plan-Rs 179/month,Music,Jazz,Evening,Relaxation and stress relief,Several times a week,Playlists,2,Rarely,Sports,Story telling,Well known individuals,Long (more than 30 minutes),Neutral,0,free,Jazz,,Unsampled,High,Low rating,0,1
35~60,Male,1 year to 2 years,Smartphone,Family Plan-Rs 179/month,No,Individual Plan- Rs 119/month,Podcast,Pop,Morning,Sadness or melancholy,Once a week,Recommendations,5,Several times a week,Comedy,Story telling,Famous personalities,Long (more than 30 minutes),Very Satisfied,0,family,Pop,,Unsampled,Medium,High rating,0,1
20~35,Male,More than 2 years,Tablet,Individual Plan- Rs 119/month,Yes,,Music,Rock,Night,Social gatherings or parties,Once a week,Recommendations,5,Several times a week,Lifestyle and Health,Discussion,,Medium (15-30 minutes),Very Satisfied,1,individual,Rock,0.0,Segment 0,Medium,High rating,0,1
12~20,Female,More than 2 years,Tablet,Individual Plan- Rs 119/month,No,Family Plan-Rs 179/month,Music,Pop,Afternoon,Relaxation and stress relief,Never,Playlists,1,Several times a week,Sports,Interview,Famous personalities,,Very Dissatisfied,0,individual,Pop,,Unsampled,Low,Low rating,0,1
20~35,Female,6 months to 1 year,Computer or laptop,Family Plan-Rs 179/month,Yes,Student Plan-Rs 59/month,Podcast,Pop,Afternoon,Sadness or melancholy,Never,Recommendations,4,Several times a week,Comedy,,Well known individuals,Long (more than 30 minutes),Satisfied,1,family,Pop,,Unsampled,Low,High rating,0,1
20~35,Male,6 months to 1 year,Tablet,Individual Plan- Rs 119/month,No,,Podcast,Jazz,Night,Sadness or melancholy,Several times a week,Playlists,3,Never,Lifestyle and Health,,Well known individuals,,Very Satisfied,0,individual,Jazz,0.0,Segment 0,High,Neutral rating,0,1
12~20,Male,More than 2 years,Smartphone,Individual Plan- Rs 119/month,No,,Podcast,Rock,Night,Sadness or melancholy,Never,Recommendations,2,Rarely,Technology,,Famous personalities,Short (less than 15 minutes),Satisfied,0,individual,Rock,,Unsampled,Low,Low rating,0,1
35~60,Others,Less than 6 months,Computer or laptop,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Classical,Night,Sadness or melancholy,Once a week,Recommendations,2,Daily,Lifestyle and Health,,Well known individuals,Long (more than 30 minutes),Dissatisfied,1,free,Classical,,Unsampled,Medium,Low rating,0,1
20~35,Male,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),No,Individual Plan- Rs 119/month,Podcast,Jazz,Afternoon,Sadness or melancholy,Never,Recommendations,5,Several times a week,Technology,Story telling,,Medium (15-30 minutes),Very Satisfied,0,free,Jazz,,Unsampled,Low,High rating,0,1
12~20,Others,Less than 6 months,Computer or laptop,Individual Plan- Rs 119/month,Yes,Individual Plan- Rs 119/month,Podcast,Melody,Afternoon,Sadness or melancholy,Never,Recommendations,3,Daily,Lifestyle and Health,Discussion,Both,Long (more than 30 minutes),Neutral,1,individual,Melody,,Unsampled,Low,Neutral rating,0,1
20~35,Others,Less than 6 months,Computer or laptop,Student Plan-Rs 59/month,No,Family Plan-Rs 179/month,Music,Classical,Morning,Sadness or melancholy,Once a week,Playlists,4,Never,Technology,Discussion,,,Dissatisfied,0,student,Classical,,Unsampled,Medium,High rating,0,1
35~60,Female,1 year to 2 years,Smartphone,Student Plan-Rs 59/month,No,,Podcast,Pop,Afternoon,Social gatherings or parties,Never,Playlists,2,Daily,Technology,Interview,Well known individuals,Short (less than 15 minutes),Satisfied,0,student,Pop,,Unsampled,Low,Low rating,0,1
35~60,Female,6 months to 1 year,Smartphone,Student Plan-Rs 59/month,Yes,Student Plan-Rs 59/month,Music,Melody,Night,Social gatherings or parties,Several times a week,Recommendations,2,Rarely,Technology,Story telling,,Medium (15-30 minutes),Neutral,1,student,Melody,,Unsampled,High,Low rating,0,1
35~60,Female,6 months to 1 year,Smart speakers or voice assistants,Family Plan-Rs 179/month,No,Student Plan-Rs 59/month,Podcast,Classical,Night,Sadness or melancholy,Once a week,Recommendations,5,Several times a week,Technology,,Well known individuals,Long (more than 30 minutes),Very Satisfied,0,family,Classical,0.0,Segment 0,Medium,High rating,0,1
20~35,Male,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Individual Plan- Rs 119/month,Music,Rap,Morning,Sadness or melancholy,Rarely,Recommendations,5,Never,Lifestyle and Health,Story telling,Famous personalities,Medium (15-30 minutes),Dissatisfied,1,free,Rap,,Unsampled,Low,High rating,0,1
20~35,Female,1 year to 2 years,Computer or laptop,Family Plan-Rs 179/month,No,Individual Plan- Rs 119/month,Podcast,Classical,Morning,Social gatherings or parties,Never,Playlists,5,Never,Sports,,,Short (less than 15 minutes),Very Satisfied,0,family,Classical,,Unsampled,Low,High rating,0,1
35~60,Female,Less than 6 months,Tablet,Free (ad-supported),Yes,Individual Plan- Rs 119/month,Podcast,Melody,Night,Social gatherings or parties,Daily,Playlists,2,Rarely,Comedy,Discussion,Well known individuals,Medium (15-30 minutes),Very Dissatisfied,1,free,Melody,,Unsampled,High,Low rating,0,1
12~20,Female,More than 2 years,Tablet,Family Plan-Rs 179/month,No,Student Plan-Rs 59/month,Podcast,Jazz,Night,Social gatherings or parties,Rarely,Recommendations,4,Several times a week,,Discussion,Both,Long (more than 30 minutes),Very Dissatisfied,0,family,Jazz,0.0,Segment 0,Low,High rating,0,1
20~35,Others,1 year to 2 years,Smart speakers or voice assistants,Student Plan-Rs 59/month,No,,Music,Melody,Evening,Social gatherings or parties,Never,Playlists,3,Once a week,Lifestyle and Health,Interview,Well known individuals,Long (more than 30 minutes),Very Satisfied,0,student,Melody,0.0,Segment 0,Low,Neutral rating,0,1
12~20,Others,6 months to 1 year,Computer or laptop,Individual Plan- Rs 119/month,Yes,Student Plan-Rs 59/month,Music,Pop,Evening,Social gatherings or parties,Never,Playlists,1,Once a week,Lifestyle and Health,Discussion,Famous personalities,,Satisfied,1,individual,Pop,,Unsampled,Low,Low rating,0,1
12~20,Others,Less than 6 months,Tablet,Free (ad-supported),No,Individual Plan- Rs 119/month,Podcast,Rock,Evening,Relaxation and stress relief,Rarely,Playlists,4,Rarely,Comedy,Interview,,,Very Dissatisfied,0,free,Rock,0.0,Segment 0,Low,High rating,0,1
35~60,Male,Less than 6 months,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Classical,Evening,Sadness or melancholy,Never,Recommendations,5,Several times a week,Lifestyle and Health,,Well known individuals,Long (more than 30 minutes),Dissatisfied,1,free,Classical,0.0,Segment 0,Low,High rating,0,1
